id;starttime;endtime;description;type;subtype;street;polyline;direction
20241119T213641_5460_1851;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Passy;48.8577767163822116 2.2595195177162708 48.8579731790525642 2.2602825573935310 48.8580224502366605 2.2607256721717111 48.8580052362010449 2.2612120102587325 48.8578939964733223 2.2618040027729274 48.8578859207810794 2.2622518011188322 48.8577925817428422 2.2629181869112713;ONE_DIRECTION
20241003T082352_280_2134;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8653312350356686 2.3272589906352534 48.8660550420156312 2.3250170913911492;ONE_DIRECTION
20240329T161009_1420_56;2024-03-29T16:10:09+01:00;2050-03-29T09:00:00+01:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8647610210920789 2.4013849285854998 48.8646466309063783 2.4041489084446028;ONE_DIRECTION
20241119T213641_4570_958;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Muette;48.8611624021858617 2.2641514368585232 48.8625913372063678 2.2653449317240288;ONE_DIRECTION
20241119T213641_4576_751;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Passy;48.8581442555127765 2.2619401493598299 48.8585351550587887 2.2621694832913239 48.8586937308635640 2.2623038374312139;ONE_DIRECTION
20241119T213641_5157_189;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_St_Cloud;48.8362880686490968 2.2568021503549440 48.8365483438406542 2.2564801503849798 48.8371281635529400 2.2559291800886236 48.8377281271750832 2.2553118580223761 48.8383422751369949 2.2546996052484016;ONE_DIRECTION
20201110T102206_1350_109;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8665126433280861 2.3998165913775256 48.8651375726578152 2.3986075359140870;ONE_DIRECTION
20241119T213641_5309_1710;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Maillot_bretelle_6;48.8752718456005653 2.2768936853578663 48.8758916903412768 2.2783526260085880 48.8763612373358072 2.2790944955924264 48.8770888909031385 2.2798125073081819;ONE_DIRECTION
20241119T213641_5436_2328;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Muette;48.8611624021858617 2.2641514368585232 48.8627801388867127 2.2651735576494820 48.8644360974670349 2.2671103671871933 48.8655761507737054 2.2682182009310714;ONE_DIRECTION
20241119T213641_6140_2523;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Quai_Issy_bretelle_1;48.8355053429113397 2.2714858741652932 48.8355214207427935 2.2701075078620230 48.8353906270165794 2.2687311873371669;ONE_DIRECTION
20241119T213645_5477_3595;2024-11-19T21:36:45+01:00;2024-11-20T06:00:00+01:00;Fermeture A1 sens Paris Prov.;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Chapelle_bretelle_4;48.9005425010515467 2.3579439028426821 48.9004191973359283 2.3585332455666101 48.9005273426373890 2.3589217398479412 48.9007119341473100 2.3591112842794475 48.9010101438882003 2.3591880534902536 48.9011934691755457 2.3591359662896925;ONE_DIRECTION
20241119T213645_6158_1463;2024-11-19T21:36:45+01:00;2024-11-20T06:00:00+01:00;Fermeture A1 sens Paris Prov.;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Chapelle_bretelle_4;48.9011934691755457 2.3591359662896925 48.9013681831112024 2.3590863309999177 48.9021488489933915 2.3589079637666779;ONE_DIRECTION
